frame,k,outRe_hex,outIm_hex
56,9,072B,0053
56,10,F755,0000
56,11,0631,0018
56,12,06A2,F5E9
56,13,F9B4,06C0
56,14,FFB7,018E
56,15,0229,FBE1
57,0,FEBD,FFF2
57,1,FFB2,FFDF
57,2,F7DC,0000
57,3,FF47,0503
57,4,EFBB,0C57
57,5,0178,F893
57,6,FF41,FF79
57,7,05A6,015B
57,8,FEBD,000E
57,9,0932,FD33
57,10,F6CE,0000
57,11,084B,0149
57,12,086B,F3A9
57,13,F542,076D
57,14,FF41,0087
57,15,01EC,F859
58,0,0143,FCDE
58,1,FFE3,001C
58,2,FE92,0000
58,3,FBDD,02E9
58,4,092F,F9B1
58,5,088C,0A29
58,6,0349,05E3
58,7,FAA8,FBE1
58,8,0143,0322
58,9,F917,F620
58,10,0A58,0000
58,11,FA29,039F
58,12,FC93,064F
58,13,FB96,F5D7
58,14,0349,FA1D
58,15,FB5E,FD97
59,0,012B,02E3
59,1,002E,FFEB
59,2,0D23,0000
59,3,0287,F6F9
59,4,14F3,EF88
59,5,FAA3,07F7
59,6,FEC1,FE8E
59,7,F936,FFB5
59,8,012B,FD1D
59,9,F3EC,0855
59,10,0A3F,0000
59,11,F55B,FC6F
59,12,F405,1078
59,13,1347,F809
59,14,FEC1,0172
59,15,FEAC,0CE3
60,0,FF20,0055
60,1,0035,0015
60,2,00E9,0000
60,3,01C6,FF5D
60,4,FD1E,0247
60,5,FCAD,FAA7
60,6,FF0B,FD58
60,7,02E6,01C2
60,8,FF20,FFAB
60,9,0425,03F5
60,10,FB99,0000
60,11,035E,FEB5
60,12,01AE,FDB9
60,13,00CF,0559
60,14,FF0B,02A8
60,15,023E,002C
61,0,FF38,FECA
61,1,FFEC,FFF8
61,2,FB64,0000
61,3,FE97,03A3
61,4,F9FB,04F1
61,5,02F6,FDF8
61,6,004D,0121
61,7,021A,FFDF
61,8,FF38,0136
61,9,03E0,FBF0
61,10,FDA6,0000
61,11,038F,0195
61,12,03DF,FB0F
61,13,F87E,0208
61,14,004D,FEDF
61,15,000C,FAE9
62,0,011D,0018
62,1,FFE9,FFF4
62,2,02A7,0000
62,3,FF4D,FE76
62,4,07B9,F9F7
62,5,017C,05E1
62,6,00CA,01A7
62,7,FC30,FE6C
62,8,011D,FFE8
62,9,FA19,FEE0
62,10,05F5,0000
62,11,FAE7,004A
62,12,FBA9,0609
62,13,03EC,FA1F
62,14,00CA,FE59
62,15,FE04,02D4
63,0,0036,0066
63,1,0028,0014
63,2,0435,0000
63,3,00EF,FD49
63,4,0698,FAFA
63,5,FE13,01C1
63,6,FFDA,FF4F
63,7,FE3F,0006
63,8,0036,FF9A
63,9,FCEE,02D2
63,10,02D3,0000
63,11,FD23,FEDD
63,12,FC8E,0506
63,13,05A3,FE3F
63,14,FFDA,00B1
63,15,FFD3,03D4
64,0,FF89,00AC
64,1,0022,0003
64,2,FF36,0000
64,3,0162,FFA5
64,4,FA7D,0406
64,5,FD03,FB76
64,6,FF24,FDEA
64,7,028D,0185
64,8,FF89,FF54
64,9,03A6,030B
64,10,FB0A,0000
64,11,030A,FEF7
64,12,028B,FBFA
64,13,FFD7,048A
64,14,FF24,0216
64,15,01DF,FFDF
65,0,FF6F,0017
65,1,FFF4,FFF7
65,2,F92C,0000
65,3,0075,031C
65,4,EFD6,0C11
65,5,FE9B,F80D
65,6,FF7E,FE52
65,7,056C,01DA
65,8,FF6F,FFE9
65,9,0892,0011
65,10,F5D0,0000
65,11,077B,0034
65,12,07FA,F3EF
65,13,F82B,07F3
65,14,FF7E,01AE
65,15,0284,FAD6
66,0,FE70,FFFD
66,1,FFA0,FFBA
66,2,F720,0000
66,3,FEE4,05E3
66,4,EF77,0CA0
66,5,02B3,F8B9
66,6,FF00,0000
66,7,05DF,0117
66,8,FE70,0003
66,9,098E,FBF0
66,10,F720,0000
66,11,08C4,01CD
66,12,08B9,F360
66,13,F3E1,0747
66,14,FF00,0000
66,15,01C9,F739
67,0,02DC,FC96
67,1,FFD5,001F
67,2,0179,0000
67,3,FB78,00ED
67,4,1029,F42A
67,5,08F0,0F61
67,6,049B,06F8
67,7,F706,FAA0
67,8,02DC,036A
67,9,F387,F5E9
67,10,0F69,0000
67,11,F530,0389
67,12,F87F,0BD6
67,13,FFD6,F09F
67,14,049B,F908
67,15,F9A2,00EA
68,0,FFA4,03BC
68,1,0053,0023
68,2,0DB6,0000
68,3,044E,F657
68,4,11B9,F206
68,5,F7AC,02E2
68,6,FCD8,FC1C
68,7,FC25,017F
68,8,FFA4,FC44
68,9,F7E3,0C0B
68,10,05EE,0000
68,11,F8C4,FB1F
68,12,F5C7,0DFA
68,13,1422,FD1E
68,14,FCD8,03E4
68,15,00ED,0D0B
69,0,FF8E,FF58
69,1,000A,FFF0
69,2,FDD2,0000
69,3,0054,01B6
69,4,FA34,0497
69,5,FF83,FB48
69,6,0010,FEE4
69,7,030A,00FF
69,8,FF8E,00A8
69,9,0504,0036
69,10,FB9A,0000
69,11,042A,0020
69,12,0364,FB69
69,13,FC0F,04B8
69,14,0010,011C
69,15,0174,FD2B
70,0,FFC2,FECD
70,1,FFF9,0007
70,2,FDA4,0000
70,3,FE70,0233
70,4,FF3C,00EF
70,5,02F9,0133
70,6,00CA,01BC
70,7,FFCF,FF2B
70,8,FFC2,0133
70,9,0049,FC2B
70,10,011C,0000
70,11,0062,0167
70,12,011C,FF11
70,13,FBAD,FECD
70,14,00CA,FE44
70,15,FF03,FD3B
71,0,0047,00EB
71,1,0002,FFF1
71,2,03AC,0000
71,3,0059,FDB7
71,4,0710,FA78
71,5,FF93,0371
71,6,FF95,003F
71,7,FD80,FF6F
71,8,0047,FF15
71,9,FBB6,0159
71,10,042A,0000
71,11,FC53,FF63
71,12,FC02,0588
71,13,0559,FC8F
71,14,FF95,FFC1
71,15,FF2C,0377
72,0,00EB,FFE4
72,1,0013,000C
72,2,02E9,0000
72,3,0066,FE0B
72,4,0576,FBC5
72,5,FF27,0296
72,6,00A7,0008
72,7,FDEC,FF7A
72,8,00EB,001C
72,9,FCA9,014A
72,10,02F9,0000
72,11,FCE6,FF7F
72,12,FD02,043B
72,13,0417,FD6A
72,14,00A7,FFF8
72,15,FF60,02FC
73,0,FF57,010D
73,1,0022,000B
73,2,FEFD,0000
73,3,01EB,FF6A
73,4,F841,059F
73,5,FBC1,F9B4
73,6,FEAE,FD05
73,7,038C,0236
73,8,FF57,FEF3
