frame,k,outRe_hex,outIm_hex
49,8,7FC2,0000
49,9,A189,B831
49,10,F822,87A0
49,11,D673,25FD
49,12,FFC2,0000
49,13,C607,0907
49,14,8762,07A0
49,15,C105,9B3B
50,0,800D,0000
50,1,62A8,23B7
50,2,16BF,694E
50,3,B4FC,FA5F
50,4,000D,8000
50,5,FBC6,49B7
50,6,E95B,694E
50,7,ECCA,730F
50,8,800D,0000
50,9,ECCA,8CF1
50,10,E95B,96B2
50,11,FBC6,B649
50,12,000D,8000
50,13,B4FC,05A1
50,14,16BF,96B2
50,15,62A8,DC49
51,0,C06B,0000
51,1,D94F,1178
51,2,9F03,2168
51,3,A783,2F3A
51,4,406B,0000
51,5,66D9,21B4
51,6,61D3,A168
51,7,1A01,03F2
51,8,C06B,0000
51,9,1A01,FC0E
51,10,61D3,5E98
51,11,66D9,DE4C
51,12,406B,0000
51,13,A783,D0C6
51,14,9F03,DE98
51,15,D94F,EE88
52,0,000C,0000
52,1,8D6A,2253
52,2,52CB,6D41
52,3,B163,93E0
52,4,400C,4000
52,5,1EF5,43A0
52,6,2D4D,6D41
52,7,A26E,D213
52,8,800C,0000
52,9,A26E,2DED
52,10,2D4D,92BF
52,11,1EF5,BC60
52,12,400C,C000
52,13,B163,6C20
52,14,52CB,92BF
52,15,8D6A,DDAD
53,0,BFCF,0000
53,1,15B2,1DFA
53,2,8D4A,7285
53,3,29DD,290F
53,4,7FCF,4000
53,5,4923,35AD
53,6,F254,F285
53,7,768A,2A98
53,8,3FCF,0000
53,9,768A,D568
53,10,F254,0D7B
53,11,4923,CA53
53,12,7FCF,C000
53,13,29DD,D6F1
53,14,8D4A,8D7B
53,15,15B2,E206
54,0,C01E,0000
54,1,B95C,9360
54,2,00D8,BF46
54,3,EC96,6D4A
54,4,401E,8000
54,5,52A6,AE4A
54,6,7F64,BF46
54,7,07E0,D460
54,8,C01E,0000
54,9,07E0,2BA0
54,10,7F64,40BA
54,11,52A6,51B6
54,12,401E,8000
54,13,EC96,92B6
54,14,00D8,40BA
54,15,B95C,6CA0
55,0,C02B,0000
55,1,0A47,1B9D
55,2,EE26,1205
55,3,25DC,08A0
55,4,802B,4000
55,5,DA34,88E6
55,6,9230,9205
55,7,F655,9BE3
55,8,402B,0000
55,9,F655,641D
55,10,9230,6DFB
55,11,DA34,771A
55,12,802B,C000
55,13,25DC,F760
55,14,EE26,EDFB
55,15,0A47,E463
56,0,BFEC,0000
56,1,7DAC,7526
56,2,5E3E,E1AE
56,3,E7CA,B588
56,4,3FEC,8000
56,5,4FFA,FD9C
56,6,219A,E1AE
56,7,4A40,BD3A
56,8,BFEC,0000
56,9,4A40,42C6
56,10,219A,1E52
56,11,4FFA,0264
56,12,3FEC,8000
56,13,E7CA,4A78
56,14,5E3E,1E52
56,15,7DAC,8ADA
57,0,3FB5,0000
57,1,98D4,DCF3
57,2,E3BF,5BF6
57,3,8880,EA6F
57,4,BFB5,8000
57,5,85CE,5B8B
57,6,9BAB,5BF6
57,7,57B2,4E0F
57,8,3FB5,0000
57,9,57B2,B1F1
57,10,9BAB,A40A
57,11,85CE,A475
57,12,BFB5,8000
57,13,8880,1591
57,14,E3BF,A40A
57,15,98D4,230D
58,0,FF9E,0000
58,1,6889,3404
58,2,384F,074F
58,3,D6DE,894F
58,4,3F9E,C000
58,5,B9E4,F7C9
58,6,C6ED,874F
58,7,052D,A27E
58,8,7F9E,0000
58,9,052D,5D82
58,10,C6ED,78B1
58,11,B9E4,0837
58,12,3F9E,4000
58,13,D6DE,76B1
58,14,384F,F8B1
58,15,6889,CBFC
59,0,8041,0000
59,1,FA77,1685
59,2,D716,692B
59,3,5972,0CD4
59,4,4041,C000
59,5,CE18,65CC
59,6,A96C,692B
59,7,DF03,6F7D
59,8,0041,0000
59,9,DF03,9083
59,10,A96C,96D5
59,11,CE18,9A34
59,12,4041,4000
59,13,5972,F32C
59,14,D716,96D5
59,15,FA77,E97B
60,0,C080,0000
60,1,B02D,CBC3
60,2,D41C,6C64
60,3,65D3,97BD
60,4,C080,0000
60,5,5375,5F75
60,6,ACE4,6C64
60,7,988B,937B
60,8,C080,0000
60,9,988B,6C85
60,10,ACE4,939C
60,11,5375,A08B
60,12,C080,0000
60,13,65D3,6843
60,14,D41C,939C
60,15,B02D,343D
61,0,BFDD,0000
61,1,B13B,7434
61,2,551B,EAC2
61,3,9319,0C86
61,4,3FDD,8000
61,5,0AC5,EE62
61,6,2A9F,EAC2
61,7,B05B,5610
61,8,BFDD,0000
61,9,B05B,A9F0
61,10,2A9F,153E
61,11,0AC5,119E
61,12,3FDD,8000
61,13,9319,F37A
61,14,551B,153E
61,15,B13B,8BCC
62,0,7FD6,0000
62,1,AA4E,52F5
62,2,0B69,346D
62,3,F67F,0D66
62,4,BFD6,4000
62,5,6281,3412
62,6,7443,346D
62,7,FC0A,79A1
62,8,FFD6,0000
62,9,FC0A,865F
62,10,7443,CB93
62,11,6281,CBEE
62,12,BFD6,C000
62,13,F67F,F29A
62,14,0B69,CB93
62,15,AA4E,AD0B
63,0,C03B,0000
63,1,C3AC,3BAB
63,2,4397,FCA4
63,3,5676,64DB
63,4,403B,0000
63,5,4B22,C3B9
63,6,BCDF,7CA4
63,7,9BA8,9A89
63,8,C03B,0000
63,9,9BA8,6577
63,10,BCDF,835C
63,11,4B22,3C47
63,12,403B,0000
63,13,5676,9B25
63,14,4397,035C
63,15,C3AC,C455
64,0,4023,0000
64,1,BC58,6D03
64,2,C74F,F8D4
64,3,1876,D359
64,4,4023,0000
64,5,124C,28DD
64,6,B8F7,F8D4
64,7,1972,C287
64,8,4023,0000
64,9,1972,3D79
64,10,B8F7,072C
64,11,124C,D723
64,12,4023,0000
64,13,1876,2CA7
64,14,C74F,072C
64,15,BC58,92FD
65,0,7FDC,0000
65,1,6319,6E00
65,2,CD57,7285
65,3,B9F0,F9C5
65,4,3FDC,4000
65,5,FC86,4307
65,6,3261,F285
65,7,E5E1,B742
65,8,FFDC,0000
65,9,E5E1,48BE
65,10,3261,0D7B
65,11,FC86,BCF9
65,12,3FDC,C000
65,13,B9F0,063B
65,14,CD57,8D7B
65,15,6319,9200
66,0,7FA5,0000
66,1,3B5D,360E
66,2,E597,1A0E
66,3,89EB,F190
66,4,FFA5,8000
66,5,129B,5454
66,6,19B3,1A0E
66,7,26B1,98D2
66,8,7FA5,0000
66,9,26B1,672E
66,10,19B3,E5F2
66,11,129B,ABAC
66,12,FFA5,8000
66,13,89EB,0E70
66,14,E597,E5F2
66,15,3B5D,C9F2
67,0,7F9A,0000
67,1,9E73,3046
67,2,0347,BC53
67,3,4F2C,13BB
67,4,3F9A,C000
67,5,7D04,C6BF
67,6,7BED,BC53
67,7,93C5,E34A
67,8,FF9A,0000
67,9,93C5,1CB6
67,10,7BED,43AD
67,11,7D04,3941
67,12,3F9A,4000
67,13,4F2C,EC45
67,14,0347,43AD
67,15,9E73,CFBA
68,0,007B,0000
68,1,4D1A,60D6
68,2,402A,8051
68,3,5C95,EFCD
68,4,407B,4000
68,5,EF2D,2501
68,6,40CC,8051
68,7,6910,960A
68,8,807B,0000
68,9,6910,69F6
68,10,40CC,7FAF
68,11,EF2D,DAFF
