frame,k,outRe_hex,outIm_hex
63,7,0032,FFFA
63,8,0028,0000
63,9,0032,0006
63,10,001E,001A
63,11,002D,0017
63,12,0026,0016
63,13,0022,FFEF
63,14,004E,FF4E
63,15,F9AA,05AA
64,0,F460,0000
64,1,070B,F9E1
64,2,FEDD,0136
64,3,0008,FFDB
64,4,0027,FFD1
64,5,003C,FFD5
64,6,0035,FFDE
64,7,0041,FFF7
64,8,003E,0000
64,9,0041,0009
64,10,0035,0022
64,11,003C,002B
64,12,0027,002F
64,13,0008,0025
64,14,FEDD,FECA
64,15,070B,061F
65,0,DDB7,0000
65,1,1107,FFD7
65,2,FEB5,0013
65,3,FFD7,FFD1
65,4,0008,FFCD
65,5,0011,FFE3
65,6,0029,FFE5
65,7,001D,FFF9
65,8,0025,0000
65,9,001D,0007
65,10,0029,001B
65,11,0011,001D
65,12,0008,0033
65,13,FFD7,002F
65,14,FEB5,FFED
65,15,1107,0029
66,0,DCA7,0000
66,1,1380,0830
66,2,FD29,0020
66,3,FF95,FFA6
66,4,FFC7,0042
66,5,FFAB,0033
66,6,FFB7,0026
66,7,FF9D,0010
66,8,FFA3,0000
66,9,FF9C,FFF0
66,10,FFB7,FFDA
66,11,FFAB,FFCE
66,12,FFC7,FFBE
66,13,FF95,0059
66,14,FD29,FFE0
66,15,137F,F7D0
67,0,21E4,0000
67,1,E77C,1437
67,2,0628,F95E
67,3,FFF8,008B
67,4,FFA4,0046
67,5,FFB2,004D
67,6,FF90,0032
67,7,FF92,0009
67,8,FF94,0000
67,9,FF92,FFF7
67,10,FF90,FFCE
67,11,FFB2,FFB3
67,12,FFA4,FFBA
67,13,FFF8,FF75
67,14,0628,06A2
67,15,E77C,EBC9
68,0,273D,0000
68,1,EF78,E7CF
68,2,FEEE,077C
68,3,007E,FFFC
68,4,0060,FFD5
68,5,0028,FFB6
68,6,005A,0004
68,7,004E,FFE5
68,8,004B,0000
68,9,004E,001B
68,10,005A,FFFC
68,11,0028,004A
68,12,0060,002B
68,13,007E,0004
68,14,FEEE,F884
68,15,EF78,1831
69,0,F2CD,0000
69,1,09C8,FF8A
69,2,FEE2,FE94
69,3,FFD1,FFD8
69,4,001E,FFDF
69,5,0043,FFF8
69,6,003A,FFE4
69,7,0040,FFF6
69,8,0037,0000
69,9,0040,000A
69,10,003A,001C
69,11,0043,0008
69,12,001E,0021
69,13,FFD1,0028
69,14,FEE2,016C
69,15,09C8,0076
70,0,FD8C,0000
70,1,00BC,07B7
70,2,FFB7,FDA4
70,3,0015,0030
70,4,FFE3,001F
70,5,FFDD,0022
70,6,FFCD,000A
70,7,FFD6,000D
70,8,FFCE,0000
70,9,FFD6,FFF3
70,10,FFCD,FFF6
70,11,FFDD,FFDE
70,12,FFE3,FFE1
70,13,0015,FFD0
70,14,FFB7,025C
70,15,00BC,F849
71,0,0FBC,0000
71,1,F782,FD56
71,2,00A3,01DD
71,3,0019,FFEB
71,4,0000,0014
71,5,FFEB,0009
71,6,FFEB,0007
71,7,FFEA,0008
71,8,FFE8,0000
71,9,FFEA,FFF8
71,10,FFEB,FFF9
